YLR378C	GO:0005784
YNL062C	GO:0031515
YBR050C	GO:0000164
YPR141C	GO:0005875
YMR112C	GO:0016592
YNL328C	GO:0001405
YKR037C	GO:0005876
YKL185W	GO:0033698
YDR252W	GO:0005854
YML085C	GO:0005880
YDR448W	GO:0005671
YOR254C	GO:0031207
YOR069W	GO:0030905
YDR019C	GO:0005960
YDR311W	GO:0005675
YDR424C	GO:0005868
YMR106C	GO:0043564
YHR118C	GO:0005664
YCR092C	GO:0032302
YIL084C	GO:0033698
YOR207C	GO:0005666
YIL071C	GO:0008180
YOR206W	GO:0030690
YJL115W	GO:0005678
YEL061C	GO:0005871
YLR052W	GO:0031011
YFR052W	GO:0008541
YGL244W	GO:0008023
YDR156W	GO:0005736
YDL150W	GO:0005666
YCR020C-A	GO:0031417
YKL139W	GO:0032806
YPL078C	GO:0000274
YJL143W	GO:0005744
YPR187W	GO:0005665
YJR065C	GO:0005885
YML111W	GO:0000151
YOR260W	GO:0005851
YKL204W	GO:0005845
YIL026C	GO:0034990
YJL061W	GO:0055126
YNR023W	GO:0016514
YGL003C	GO:0005680
YMR159C	GO:0034274
YJL164C	GO:0005952
YMR068W	GO:0031932
YGR082W	GO:0005742
YML071C	GO:0017119
YNL041C	GO:0017119
YJL001W	GO:0019774
YGR264C	GO:0017102
YPL078C	GO:0005753
YIL063C	GO:0005643
YJL041W	GO:0005643
YCR057C	GO:0034388
YKL145W	GO:0034515
YKR065C	GO:0001405
YMR125W	GO:0005846
YAL010C	GO:0032865
YPR103W	GO:0019774
YIL035C	GO:0005956
YLR166C	GO:0000145
YDR288W	GO:0030915
YBL080C	GO:0030956
YLR102C	GO:0005680
YDL029W	GO:0005885
YDR195W	GO:0005847
YDR052C	GO:0031431
YPL209C	GO:0005876
YBR221C	GO:0005967
YER012W	GO:0005838
YLR319C	GO:0000133
YER148W	GO:0000126
YIL144W	GO:0031262
YJL041W	GO:0055126
YAL013W	GO:0070210
YAL016W	GO:0000159
YMR049C	GO:0070545
YKL081W	GO:0005853
YOR340C	GO:0005666
YGL070C	GO:0005665
YDR529C	GO:0005750
YDR106W	GO:0005869
YIL050W	GO:0000307
YER030W	GO:0005678
YER148W	GO:0005669
YER164W	GO:0000124
YIL143C	GO:0000112
YHR023W	GO:0016460
YMR012W	GO:0005852
YGL005C	GO:0017119
YLR370C	GO:0005885
YOR001W	GO:0000176
YOR279C	GO:0000118
YNL230C	GO:0008023
YOL117W	GO:0008180
YPR041W	GO:0005850
YMR094W	GO:0031518
YMR263W	GO:0070210
YIL112W	GO:0034967
YMR236W	GO:0000124
YDL042C	GO:0005677
YDR280W	GO:0000176
YER017C	GO:0005745
YDL090C	GO:0005965
YBR215W	GO:0000417
YNR023W	GO:0016585
YKL057C	GO:0031080
YJL104W	GO:0001405
YPL094C	GO:0031207
YJL002C	GO:0008250
YOR057W	GO:0000151
YJL072C	GO:0000811
YLR273C	GO:0000164
YGR083C	GO:0032045
YPR056W	GO:0000439
YBR289W	GO:0016514
YLR095C	GO:0016587
YDR303C	GO:0016586
YER021W	GO:0031597
YJL204C	GO:0031461
YLR008C	GO:0001405
YOL148C	GO:0005669
YLL049W	GO:0005869
YDR190C	GO:0070209
YMR077C	GO:0000815
YBL084C	GO:0005680
YJL053W	GO:0030906
YNL311C	GO:0019005
YER116C	GO:0000151
YLR119W	GO:0000813
YDR092W	GO:0031371
YML069W	GO:0035101
YGR216C	GO:0000506
YDR335W	GO:0005643
YGL112C	GO:0005669
YAL002W	GO:0033263
YNL107W	GO:0035267
YJL183W	GO:0000136
YLR148W	GO:0033263
YPR179C	GO:0070823
YGR275W	GO:0016514
YDR448W	GO:0046695
YDR328C	GO:0031518
YML092C	GO:0019774
YML062C	GO:0000446
YGL227W	GO:0034657
YDR306C	GO:0000151
YOL072W	GO:0070390
YGR274C	GO:0000123
YNL261W	GO:0005664
YPR085C	GO:0070209
YLR292C	GO:0031207
YDL077C	GO:0030897
YML098W	GO:0005669
YPL082C	GO:0005669
YER012W	GO:0031597
YFR031C	GO:0000799
YAL029C	GO:0031475
YKR029C	GO:0070210
YDR318W	GO:0000817
YOR224C	GO:0005736
YHR099W	GO:0000124
YIL046W	GO:0043224
YPR025C	GO:0005675
YLR208W	GO:0005643
YPR019W	GO:0042555
YIL034C	GO:0008290
YJL065C	GO:0008623
YGL191W	GO:0005751
YCR052W	GO:0016586
YGR162W	GO:0016281
YMR201C	GO:0000110
YER072W	GO:0033254
YIL066C	GO:0005971
YBR105C	GO:0034657
YJL006C	GO:0032806
YMR108W	GO:0005948
YML103C	GO:0005643
YNL309W	GO:0033309
YMR263W	GO:0033698
YOR362C	GO:0019773
YOR249C	GO:0005680
YPL209C	GO:0032133
YML124C	GO:0005880
YBL021C	GO:0016602
YNL153C	GO:0016272
YMR236W	GO:0046695
YGL047W	GO:0043541
YPL083C	GO:0000214
YDR398W	GO:0034455
YNL049C	GO:0030127
YKL016C	GO:0005753
YBR095C	GO:0033698
YOL004W	GO:0033698
YKL145W	GO:0008541
YAL013W	GO:0033698
YBR077C	GO:0034449
YBR087W	GO:0031390
YDL130W-A	GO:0005753
YJL024C	GO:0030123
YNL232W	GO:0000176
YGR240C	GO:0005945
YNL287W	GO:0030126
YLR163C	GO:0017087
YJL074C	GO:0034990
YBR114W	GO:0000113
YNL222W	GO:0005847
YDL195W	GO:0030127
YHR041C	GO:0016592
YMR198W	GO:0005871
YGR129W	GO:0000974
YPL046C	GO:0008023
YEL013W	GO:0071563
YJL173C	GO:0005662
YOL146W	GO:0031298
YPL129W	GO:0031011
YGR056W	GO:0016586
YNL289W	GO:0000307
YJR076C	GO:0031105
YDR190C	GO:0000812
YLR313C	GO:0000133
YLR357W	GO:0016586
YLR038C	GO:0005751
YER025W	GO:0005850
Q0105	GO:0005750
YJL054W	GO:0042721
YKR059W	GO:0016281
YOR259C	GO:0034515
YDL181W	GO:0005753
YDR427W	GO:0034515
YGL130W	GO:0031533
YDR013W	GO:0031298
YIR010W	GO:0000818
YEL053C	GO:0031417
YDR404C	GO:0005665
YBL054W	GO:0033698
YJL140W	GO:0005665
YGR275W	GO:0016586
YLR117C	GO:0000974
YGL093W	GO:0000777
YNR049C	GO:0031201
YOR304W	GO:0008623
YNL258C	GO:0070939
YDR439W	GO:0033551
YOR212W	GO:0005834
YMR058W	GO:0033573
YPR141C	GO:0005874
YDR145W	GO:0046695
YER027C	GO:0031588
YOR232W	GO:0001405
YOR270C	GO:0000221
YDL088C	GO:0031015
YGR163W	GO:0034449
YDR301W	GO:0005849
YJR066W	GO:0031931
YHR013C	GO:0031415
YLL021W	GO:0000133
YDL179W	GO:0000307
YER107C	GO:0055126
YER021W	GO:0034515
YOR270C	GO:0033180
YDR238C	GO:0030126
